Mois,Production totale,Production nucléaire,Production thermique totale,Production thermique charbon,Production thermique fioul,Production thermique gaz,Production hydraulique,Production éolien,Production solaire,Production bio-énergies,Consommation totale
2013-01,7965.0,7717.0,70.0,0.0,2.0,67.0,24.0,122.0,3.0,27.0,0.0
2013-02,7261.0,6992.0,57.0,0.0,2.0,54.0,27.0,150.0,7.0,26.0,0.0
2013-03,7083.0,6836.0,61.0,0.0,2.0,59.0,16.0,125.0,11.0,31.0,0.0
2013-04,5652.0,5454.0,2.0,0.0,0.0,2.0,23.0,135.0,17.0,20.0,0.0
2013-05,5699.0,5523.0,1.0,0.0,0.0,1.0,25.0,101.0,18.0,29.0,0.0
2013-06,4883.0,4720.0,1.0,0.0,0.0,1.0,11.0,102.0,20.0,27.0,0.0
2013-07,5463.0,5307.0,1.0,0.0,0.0,1.0,3.0,96.0,25.0,29.0,0.0
2013-08,4385.0,4260.0,1.0,0.0,0.0,1.0,2.0,66.0,23.0,32.0,0.0
2013-09,4336.0,4201.0,1.0,0.0,0.0,1.0,0.0,90.0,15.0,27.0,0.0
2013-10,4701.0,4507.0,6.0,0.0,2.0,4.0,5.0,136.0,10.0,36.0,0.0
2013-11,6099.0,5793.0,52.0,0.0,2.0,49.0,19.0,192.0,5.0,36.0,0.0
2013-12,7310.0,7002.0,56.0,0.0,2.0,53.0,12.0,193.0,7.0,37.0,0.0
2014-01,8353.0,8017.0,55.0,0.0,0.0,55.0,23.0,214.0,5.0,36.0,2034.0
2014-02,7353.0,6956.0,54.0,0.0,0.0,54.0,28.0,272.0,9.0,32.0,1837.0
2014-03,7392.0,7153.0,47.0,0.0,0.0,47.0,20.0,113.0,20.0,37.0,1736.0
2014-04,6551.0,6402.0,0.0,0.0,0.0,0.0,6.0,90.0,20.0,31.0,1486.0
2014-05,6405.0,6191.0,0.0,0.0,0.0,0.0,8.0,148.0,22.0,33.0,1349.0
2014-06,6035.0,5870.0,1.0,0.0,0.0,1.0,3.0,102.0,25.0,32.0,1234.0
2014-07,6305.0,6157.0,1.0,0.0,0.0,1.0,4.0,84.0,23.0,34.0,1289.0
2014-08,5330.0,5178.0,0.0,0.0,0.0,0.0,5.0,88.0,22.0,34.0,1170.0
2014-09,4875.0,4743.0,0.0,0.0,0.0,0.0,2.0,73.0,22.0,33.0,1296.0
2014-10,5793.0,5619.0,3.0,0.0,0.0,3.0,8.0,111.0,14.0,35.0,1461.0
2014-11,7382.0,7139.0,52.0,0.0,0.0,52.0,9.0,136.0,7.0,38.0,1644.0
2014-12,8745.0,8440.0,56.0,0.0,0.0,56.0,17.0,190.0,4.0,36.0,2109.0
2015-01,8787.0,8445.0,57.0,0.0,0.0,57.0,21.0,224.0,6.0,32.0,2177.0
2015-02,7988.0,7669.0,55.0,0.0,0.0,54.0,23.0,197.0,10.0,32.0,2034.0
2015-03,8404.0,8092.0,56.0,0.0,0.0,56.0,23.0,180.0,16.0,35.0,1860.0
2015-04,6245.0,6027.0,0.0,0.0,0.0,0.0,10.0,150.0,25.0,31.0,1438.0
2015-05,5743.0,5529.0,0.0,0.0,0.0,0.0,10.0,139.0,27.0,35.0,1308.0
2015-06,6515.0,6331.0,1.0,0.0,0.0,1.0,2.0,116.0,32.0,31.0,1349.0
2015-07,5727.0,5540.0,0.0,0.0,0.0,0.0,0.0,120.0,30.0,35.0,1364.0
2015-08,5885.0,5718.0,0.0,0.0,0.0,0.0,0.0,101.0,27.0,38.0,1212.0
2015-09,6810.0,6584.0,0.0,0.0,0.0,0.0,0.0,164.0,23.0,36.0,1292.0
2015-10,5850.0,5685.0,2.0,0.0,0.0,2.0,1.0,109.0,15.0,36.0,1540.0
2015-11,6089.0,5757.0,52.0,0.0,0.0,52.0,2.0,227.0,10.0,39.0,1607.0
2015-12,8196.0,7900.0,52.0,0.0,0.0,52.0,1.0,195.0,8.0,37.0,1801.0
2016-01,8835.0,8460.0,55.0,0.0,0.0,55.0,14.0,262.0,7.0,35.0,2037.0
2016-02,8209.0,7808.0,54.0,0.0,0.0,54.0,26.0,275.0,11.0,32.0,1909.0
2016-03,7852.0,7502.0,50.0,0.0,0.0,50.0,20.0,228.0,19.0,31.0,1906.0
2016-04,6143.0,5932.0,0.0,0.0,0.0,0.0,22.0,129.0,24.0,35.0,1537.0
2016-05,5971.0,5770.0,0.0,0.0,0.0,0.0,12.0,123.0,26.0,38.0,1316.0
2016-06,5550.0,5386.0,0.0,0.0,0.0,0.0,17.0,86.0,24.0,34.0,1207.0
2016-07,4592.0,4432.0,0.0,0.0,0.0,0.0,1.0,86.0,33.0,37.0,1240.0
2016-08,5118.0,4948.0,0.0,0.0,0.0,0.0,0.0,96.0,33.0,40.0,1187.0
2016-09,4970.0,4842.0,0.0,0.0,0.0,0.0,0.0,66.0,23.0,36.0,1225.0
2016-10,6227.0,6031.0,3.0,0.0,0.0,3.0,0.0,130.0,22.0,37.0,1500.0
2016-11,6724.0,6397.0,54.0,0.0,0.0,54.0,6.0,221.0,9.0,34.0,1784.0
2016-12,8432.0,8225.0,61.0,0.0,0.0,61.0,3.0,94.0,9.0,37.0,2093.0
2017-01,8841.0,8538.0,85.0,0.0,0.0,84.0,4.0,166.0,9.0,37.0,2376.0
2017-02,7965.0,7623.0,69.0,0.0,0.0,69.0,8.0,220.0,11.0,33.0,1781.0
2017-03,8668.0,8314.0,70.0,0.0,0.0,70.0,20.0,204.0,18.0,38.0,1724.0
2017-04,7985.0,7800.0,0.0,0.0,0.0,0.0,4.0,109.0,33.0,37.0,1473.0
2017-05,6628.0,6425.0,0.0,0.0,0.0,0.0,6.0,120.0,33.0,42.0,1323.0
2017-06,5199.0,5008.0,0.0,0.0,0.0,0.0,3.0,106.0,36.0,42.0,1282.0
2017-07,4870.0,4649.0,0.0,0.0,0.0,0.0,0.0,142.0,31.0,46.0,1291.0
2017-08,5405.0,5227.0,0.0,0.0,0.0,0.0,0.0,99.0,31.0,46.0,1206.0
2017-09,4608.0,4408.0,0.0,0.0,0.0,0.0,3.0,127.0,24.0,44.0,1237.0
2017-10,4693.0,4482.0,2.0,0.0,0.0,2.0,0.0,139.0,20.0,47.0,1398.0
2017-11,5756.0,5457.0,65.0,0.0,0.0,65.0,0.0,181.0,10.0,40.0,1796.0
2017-12,7317.0,6913.0,71.0,0.0,0.0,70.0,14.0,269.0,5.0,42.0,2091.0
2018-01,7825.0,7352.0,92.0,0.0,0.0,92.0,41.0,296.0,6.0,36.0,1956.0
2018-02,7201.0,6848.0,81.0,0.0,0.0,81.0,27.0,200.0,13.0,31.0,2092.0
2018-03,7569.0,7178.0,77.0,0.0,0.0,77.0,21.0,239.0,20.0,32.0,1916.0
2018-04,6412.0,6190.0,0.0,0.0,0.0,0.0,18.0,138.0,28.0,35.0,1373.0
2018-05,6968.0,6772.0,0.0,0.0,0.0,0.0,13.0,105.0,39.0,39.0,1264.0
2018-06,5876.0,5695.0,0.0,0.0,0.0,0.0,12.0,98.0,38.0,31.0,1214.0
2018-07,6345.0,6191.0,0.0,0.0,0.0,0.0,1.0,75.0,41.0,34.0,1297.0
2018-08,6211.0,6034.0,0.0,0.0,0.0,0.0,0.0,93.0,39.0,43.0,1253.0
2018-09,5805.0,5596.0,7.0,0.0,0.0,7.0,0.0,124.0,34.0,42.0,1213.0
2018-10,5478.0,5220.0,10.0,0.0,0.0,10.0,0.0,177.0,25.0,45.0,1408.0
2018-11,4883.0,4581.0,62.0,0.0,0.0,62.0,1.0,185.0,13.0,39.0,1750.0
2018-12,7256.0,6875.0,67.0,0.0,0.0,67.0,3.0,263.0,7.0,40.0,1980.0
2019-01,8016.0,7662.0,88.0,0.0,0.0,88.0,5.0,213.0,8.0,38.0,2247.0
2019-02,7991.0,7674.0,69.0,0.0,0.0,69.0,11.0,178.0,20.0,36.0,1817.0
2019-03,7715.0,7221.0,70.0,0.0,0.0,70.0,9.0,343.0,28.0,41.0,1789.0
2019-04,6821.0,6563.0,8.0,0.0,0.0,8.0,3.0,173.0,30.0,42.0,1482.0
2019-05,6633.0,6370.0,5.0,0.0,0.0,4.0,4.0,168.0,40.0,45.0,1373.0
2019-06,5743.0,5509.0,0.0,0.0,0.0,0.0,2.0,145.0,44.0,41.0,1240.0
2019-07,5415.0,5177.0,0.0,0.0,0.0,0.0,0.0,142.0,49.0,44.0,1354.0
